country_code,country,n_events,min_onset,max_onset,window_days
AU,Australia,1704,2003-01-01,2027-06-30,8946
US,United States,4469,2006-02-24,2026-06-01,7402
CA,Canada,3233,2008-03-19,2027-03-12,6932
IT,Italy,4422,2010-09-16,2028-04-28,6434
EU,European Union,101,2013-04-11,2026-12-02,4983
NZ,New Zealand,290,2014-07-17,2026-05-29,4334
ES,Spain,3172,2016-05-05,2026-06-01,3679
DE,Germany,740,2018-07-01,2026-09-01,2984
MY,Malaysia,226,2019-01-01,2026-01-01,2557
BE,Belgium,1014,2019-04-11,2026-06-16,2623
GB,United Kingdom,80,2019-10-03,2026-05-30,2431
NO,Norway,973,2020-07-10,2026-10-01,2274
FR,France,575,2021-05-19,2026-06-01,1839
FI,Finland,1815,2022-01-07,2026-06-15,1620
IE,Ireland,778,2022-04-15,2026-06-15,1522
GR,Greece,440,2022-11-10,2026-10-01,1421
NL,Netherlands,1010,2024-07-01,2026-06-02,701
SG,Singapore,321,2025-01-02,2026-12-03,700
JP,Japan,5672,2025-05-22,2026-06-02,376
SK,Slovakia,13,2025-11-30,2026-06-05,187
AE,United Arab Emirates,20,2026-02-08,2026-06-01,113
CH,Switzerland,5930,2026-02-24,2026-06-02,98
PT,Portugal,64,2026-03-22,2026-05-27,66
